t,rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,R
0,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,0
15,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,35
35,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,50
65,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,64
120,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,78
180,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,89
240,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,92
0,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,0
60,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,52
210,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,82
360,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,90
0,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,0
10,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,18.31
15,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,33.91
30,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,56.51
60,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,72.61
0,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,0
10,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,14.62
15,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,36.22
30,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,61.72
60,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,76.52
0,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,0
10,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,22
15,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,39.9
30,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,60.9
60,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,80.23
