t,rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,R,paper
0,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,0,1
15,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,35,1
35,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,50,1
65,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,64,1
120,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,78,1
180,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,89,1
240,1900,3.1,0.5,2350,82,2.30E-03,0.00E+00,1.5,92,1
0,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,0,2
60,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,52,2
210,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,82,2
360,2000,3.9,0.75,2350,60,4.00E-03,0.00E+00,1.7,90,2
0,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,0,3
10,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,18.31,3
15,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,33.91,3
30,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,56.51,3
60,1000,42,0.5,2350,90,2.30E-03,0.00E+00,0.7,72.61,3
0,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,0,3
10,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,14.62,3
15,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,36.22,3
30,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,61.72,3
60,1000,18,0.5,2350,80,2.30E-03,0.00E+00,0.7,76.52,3
0,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,0,3
10,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,22,3
15,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,39.9,3
30,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,60.9,3
60,1200,42,0.52,2350,90,2.30E-03,0.00E+00,0.9,80.23,3
0,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,0,3
10,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,25.43,3
15,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,47.73,3
30,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,70.93,3
60,1200,18,0.52,2350,80,2.30E-03,0.00E+00,0.9,80.23,3
0,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,0,3
10,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,22.36,3
15,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,43.06,3
30,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,66.56,3
60,1500,42,0.55,2350,90,2.30E-03,0.00E+00,1.2,83.76,3
0,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,0,3
10,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,33.94,3
15,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,55.94,3
30,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,79.74,3
60,1500,18,0.55,2350,80,2.30E-03,0.00E+00,1.2,87.34,3
0,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,0,3
10,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,31.2,3
15,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,52.4,3
30,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,70.1,3
60,1900,42,0.59,2350,90,2.30E-03,0.00E+00,1.6,85.9,3
0,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,0,3
10,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,42.91,3
15,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,66.41,3
30,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,83.61,3
60,1900,18,0.59,2350,80,2.30E-03,0.00E+00,1.6,91.11,3
0,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,0,3
10,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,35.34,3
15,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,50.34,3
30,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,72.44,3
60,1000,42,0.001,2350,90,2.30E-03,0.00E+00,0.7,84.43,3
0,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,0,3
10,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,31.51,3
15,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,53.81,3
30,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,77.91,3
60,1000,18,0.001,2350,90,2.30E-03,0.00E+00,0.7,87.21,3
0,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,0,3
10,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,32.81,3
15,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,52.71,3
30,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,71.41,3
60,1200,42,0.0012,2350,90,2.30E-03,0.00E+00,0.9,88.91,3
0,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,0,3
10,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,39.51,3
15,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,63.61,3
30,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,82,3
60,1200,18,0.0012,2350,90,2.30E-03,0.00E+00,0.9,89.46,3
0,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,0,3
10,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,39.13,3
15,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,53.43,3
30,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,76.53,3
60,1500,42,0.0015,2350,90,2.30E-03,0.00E+00,1.2,92.53,3
