rpm,dp,db,rhop,thetap,mu,EB_bp,Jb,U1,U2,ep1,ep2,Sb,t,Rp,Re,kp,Pk
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0,0,0,0,0.00E+00
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.01,0.000982,0,0.0003,2.71E-06
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.02,0.001961,0,0.0006,5.41E-06
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.03,0.002939,0,0.0009,8.12E-06
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.04,0.003915,0,0.0013,1.08E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.05,0.004889,0,0.0016,1.35E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.06,0.005861,0,0.0019,1.62E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.07,0.006831,0,0.0022,1.89E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.08,0.007799,0,0.0025,2.17E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.09,0.008765,0,0.0028,2.44E-05
1200,16.3,0.5,4200,90,2.30E-03,0.00E+00,0.9671,1.9406,0.2229,6.4803,0.3121,116.05,0.1,0.00973,0,0.0031,2.71E-05
